business_objective,security_alignment_score,investment_eur,expected_roi,timeline_months,risk_reduction,kpi_improvement,status,priority
Digital Transformation,85,1200000,18.5,24,High,Customer Satisfaction +15%,In Progress,Critical
Market Expansion,78,450000,22.1,12,Medium,Revenue Growth +8%,Planning,High
Operational Efficiency,92,320000,35.2,6,Medium,Cost Reduction 12%,Completed,Medium
Customer Experience,88,680000,28.7,18,High,NPS Score +20,In Progress,High
Regulatory Compliance,95,890000,15.8,12,Very High,Audit Score 98%,Completed,Critical
Innovation Leadership,72,750000,25.3,30,Medium,Time to Market -25%,Planning,Medium
Cost Optimization,89,280000,42.1,9,Low,OPEX Reduction 8%,In Progress,Medium
Risk Management,94,1100000,19.6,18,Very High,Risk Score -30%,In Progress,Critical
Sustainability Goals,65,180000,12.4,24,Low,Carbon Footprint -15%,Planning,Low
Partnership Strategy,81,420000,31.8,15,Medium,Partner Satisfaction +18%,In Progress,Medium
